Date, Close,,,,,,
08/06/1982,22/02/1902,,,,,,
08/17/82,10/04/1902,,,,,,
08/26/82,10/06/1902,,,,,,
09/07/1982,02/07/1902,,,,,,
09/16/82,15/07/1902,,,,,,
09/27/82,08/07/1902,,,,,,
10/06/1982,01/08/1902,,,,,,
10/15/82,19/09/1902,,,,,,
10/26/82,02/10/1902,,,,,,
11/04/1982,15/11/1902,,,,,,
11/15/82,17/10/1902,,,,,,
11/24/82,26/09/1902,,,,,,
12/06/1982,20/11/1902,,,,,,
12/15/82,18/09/1902,,,,,,
12/27/82,05/12/1902,,,,,,
01/05/1983,09/11/1902,,,,,,
01/14/83,15/12/1902,,,,,,
01/25/83,07/11/1902,,,,,,
02/03/1983,29/11/1902,,,,,,
02/14/83,01/01/1903,,,,,,
02/24/83,25/01/1903,,,,,,
03/07/1983,14/02/1903,,,,,,
03/16/83,20/01/1903,,,,,,
03/25/83,13/02/1903,,,,,,
04/06/1983,17/01/1903,,,,,,
04/15/83,16/03/1903,,,,,,
04/26/83,23/04/1903,,,,,,
05/05/1983,03/05/1903,,,,,,
05/16/83,16/04/1903,,,,,,
05/25/83,13/05/1903,,,,,,
06/06/1983,28/04/1903,,,,,,
06/15/83,21/05/1903,,,,,,
06/24/83,25/05/1903,,,,,,
07/06/1983,04/05/1903,,,,,,
07/15/83,06/04/1903,,,,,,
07/26/83,27/05/1903,,,,,,
08/04/1983,28/03/1903,,,,,,
08/15/83,07/04/1903,,,,,,
08/24/83,29/03/1903,,,,,,
09/02/1983,29/04/1903,,,,,,
09/14/83,13/05/1903,,,,,,
09/23/83,08/06/1903,,,,,,
10/04/1983,20/05/1903,,,,,,
10/13/83,14/06/1903,,,,,,
10/24/83,01/06/1903,,,,,,
11/02/1983,21/05/1903,,,,,,
11/11/1983,03/06/1903,,,,,,
11/22/83,28/06/1903,,,,,,
12/02/1983,18/06/1903,,,,,,
12/13/83,08/06/1903,,,,,,
12/22/83,06/06/1903,,,,,,
01/04/1984,22/06/1903,,,,,,
01/13/84,23/06/1903,,,,,,
01/24/84,26/05/1903,,,,,,
02/02/1984,27/04/1903,,,,,,
02/13/84,23/02/1903,,,,,,
02/23/84,07/02/1903,,,,,,
03/05/1984,10/03/1903,,,,,,
03/14/84,11/03/1903,,,,,,
03/23/84,27/02/1903,,,,,,
04/03/1984,21/02/1903,,,,,,
04/12/1984,02/03/1903,,,,,,
04/24/84,07/03/1903,,,,,,
05/03/1984,26/03/1903,,,,,,
05/14/84,24/02/1903,,,,,,
05/23/84,17/01/1903,,,,,,
06/04/1984,04/02/1903,,,,,,
06/13/84,14/01/1903,,,,,,
06/22/84,04/02/1903,,,,,,
07/03/1984,07/02/1903,,,,,,
07/13/84,13/01/1903,,,,,,
07/24/84,21/12/1902,,,,,,
08/02/1984,11/03/1903,,,,,,
08/13/84,04/05/1903,,,,,,
08/22/84,15/05/1903,,,,,,
08/31/84,08/05/1903,,,,,,
09/12/1984,14/04/1903,,,,,,
09/21/84,15/04/1903,,,,,,
10/02/1984,05/04/1903,,,,,,
10/11/1984,28/03/1903,,,,,,
10/22/84,01/05/1903,,,,,,
10/31/84,21/04/1903,,,,,,
11/09/1984,02/05/1903,,,,,,
11/20/84,09/04/1903,,,,,,
11/30/84,02/04/1903,,,,,,
12/11/1984,23/03/1903,,,,,,
12/20/84,17/04/1903,,,,,,
01/02/1985,12/04/1903,,,,,,
01/11/1985,02/05/1903,,,,,,
01/22/85,12/06/1903,,,,,,
01/31/85,09/07/1903,,,,,,
02/11/1985,29/06/1903,,,,,,
02/21/85,02/07/1903,,,,,,
03/04/1985,12/07/1903,,,,,,
03/13/85,14/06/1903,,,,,,
03/22/85,21/06/1903,,,,,,
04/02/1985,18/06/1903,,,,,,
04/12/1985,18/06/1903,,,,,,
04/23/85,01/07/1903,,,,,,
05/02/1985,26/05/1903,,,,,,
05/13/85,30/06/1903,,,,,,
05/22/85,26/07/1903,,,,,,
06/03/1985,02/08/1903,,,,,,
06/12/1985,29/07/1903,,,,,,
06/21/85,16/08/1903,,,,,,
07/02/1985,26/08/1903,,,,,,
07/12/1985,30/08/1903,,,,,,
07/23/85,12/09/1903,,,,,,
08/01/1985,16/09/1903,,,,,,
08/12/1985,06/08/1903,,,,,,
08/21/85,21/08/1903,,,,,,
08/30/85,26/08/1903,,,,,,
09/11/1985,11/08/1903,,,,,,
09/20/85,20/07/1903,,,,,,
10/02/1985,25/08/1903,,,,,,
10/11/1985,31/08/1903,,,,,,
10/22/85,25/09/1903,,,,,,
10/31/85,05/10/1903,,,,,,
11/11/1985,01/12/1903,,,,,,
11/20/85,09/12/1903,,,,,,
12/02/1985,27/12/1903,,,,,,
12/11/1985,19/02/1904,,,,,,
12/20/85,22/03/1904,,,,,,
01/02/1986,16/03/1904,,,,,,
01/13/86,28/02/1904,,,,,,
01/22/86,10/02/1904,,,,,,
01/31/86,18/04/1904,,,,,,
02/11/1986,09/06/1904,,,,,,
02/21/86,23/08/1904,,,,,,
03/04/1986,12/08/1904,,,,,,
03/13/86,18/10/1904,,,,,,
03/24/86,16/11/1904,,,,,,
04/03/1986,31/10/1904,,,,,,
04/14/86,09/12/1904,,,,,,
04/23/86,02/01/1905,,,,,,
05/02/1986,08/11/1904,,,,,,
05/13/86,19/11/1904,,,,,,
05/22/86,10/12/1904,,,,,,
06/03/1986,12/02/1905,,,,,,
06/12/1986,11/01/1905,,,,,,
06/23/86,06/02/1905,,,,,,
07/02/1986,23/03/1905,,,,,,
07/14/86,27/11/1904,,,,,,
07/23/86,02/12/1904,,,,,,
08/01/1986,28/10/1904,,,,,,
08/12/1986,08/01/1905,,,,,,
08/21/86,23/02/1905,,,,,,
09/02/1986,12/02/1905,,,,,,
09/11/1986,26/11/1904,,,,,,
09/22/86,27/11/1904,,,,,,
10/01/1986,16/11/1904,,,,,,
10/10/1986,27/11/1904,,,,,,
10/21/86,09/12/1904,,,,,,
10/30/86,20/02/1905,,,,,,
11/10/1986,06/03/1905,,,,,,
11/19/86,30/12/1904,,,,,,
12/01/1986,26/03/1905,,,,,,
12/10/1986,15/04/1905,,,,,,
12/19/86,11/04/1905,,,,,,
12/31/86,09/03/1905,,,,,,
01/12/1987,01/07/1905,,,,,,
01/21/87,24/09/1905,,,,,,
01/30/87,27/11/1905,,,,,,
02/10/1987,27/11/1905,,,,,,
02/20/87,12/02/1906,,,,,,
03/03/1987,03/02/1906,,,,,,
03/12/1987,16/03/1906,,,,,,
03/23/87,20/06/1906,,,,,,
04/01/1987,04/05/1906,,,,,,
04/10/1987,26/05/1906,,,,,,
04/22/87,03/04/1906,,,,,,
05/01/1987,29/03/1906,,,,,,
05/12/1987,10/05/1906,,,,,,
05/21/87,02/02/1906,,,,,,
06/02/1987,27/03/1906,,,,,,
06/11/1987,17/06/1906,,,,,,
06/22/87,10/09/1906,,,,,,
07/01/1987,05/08/1906,,,,,,
07/13/87,17/09/1906,,,,,,
07/22/87,05/10/1906,,,,,,
07/31/87,15/01/1907,,,,,,
08/11/1987,03/05/1907,,,,,,
08/20/87,29/05/1907,,,,,,
08/31/87,15/04/1907,,,,,,
09/10/1987,19/01/1907,,,,,,
09/21/87,27/10/1906,,,,,,
09/30/87,08/02/1907,,,,,,
10/09/1987,17/10/1906,,,,,,
10/20/87,14/01/1905,,,,,,
10/29/87,21/04/1905,,,,,,
11/09/1987,14/03/1905,,,,,,
11/18/87,22/04/1905,,,,,,
11/30/87,06/01/1905,,,,,,
12/09/1987,16/03/1905,,,,,,
12/18/87,28/05/1905,,,,,,
12/30/87,03/05/1905,,,,,,
01/11/1988,28/04/1905,,,,,,
01/20/88,21/02/1905,,,,,,
01/29/88,11/05/1905,,,,,,
02/09/1988,28/03/1905,,,,,,
02/19/88,06/07/1905,,,,,,
03/01/1988,31/08/1905,,,,,,
03/10/1988,18/07/1905,,,,,,
03/21/88,28/08/1905,,,,,,
03/30/88,31/05/1905,,,,,,
04/11/1988,25/09/1905,,,,,,
04/20/88,07/06/1905,,,,,,
04/29/88,24/07/1905,,,,,,
05/10/1988,25/06/1905,,,,,,
05/19/88,11/05/1905,,,,,,
05/31/88,23/07/1905,,,,,,
06/09/1988,23/09/1905,,,,,,
06/20/88,13/09/1905,,,,,,
06/29/88,21/10/1905,,,,,,
07/11/1988,11/10/1905,,,,,,
07/20/88,10/10/1905,,,,,,
07/29/88,28/10/1905,,,,,,
08/09/1988,09/09/1905,,,,,,
08/18/88,19/07/1905,,,,,,
08/29/88,02/08/1905,,,,,,
09/08/1988,24/08/1905,,,,,,
09/19/88,11/09/1905,,,,,,
09/28/88,15/09/1905,,,,,,
10/07/1988,19/11/1905,,,,,,
10/18/88,28/11/1905,,,,,,
10/27/88,09/11/1905,,,,,,
11/07/1988,24/10/1905,,,,,,
11/16/88,30/07/1905,,,,,,
11/28/88,11/09/1905,,,,,,
12/07/1988,22/11/1905,,,,,,
12/16/88,19/11/1905,,,,,,
12/28/88,05/12/1905,,,,,,
01/09/1989,07/01/1906,,,,,,
01/18/89,15/02/1906,,,,,,
01/27/89,10/05/1906,,,,,,
02/07/1989,04/06/1906,,,,,,
02/16/89,29/04/1906,,,,,,
02/28/89,07/03/1906,,,,,,
03/09/1989,09/04/1906,,,,,,
03/20/89,11/03/1906,,,,,,
03/30/89,30/03/1906,,,,,,
04/10/1989,19/04/1906,,,,,,
04/19/89,13/07/1906,,,,,,
04/28/89,14/08/1906,,,,,,
05/09/1989,28/06/1906,,,,,,
05/18/89,05/10/1906,,,,,,
05/30/89,10/10/1906,,,,,,
06/08/1989,20/11/1906,,,,,,
06/19/89,14/10/1906,,,,,,
06/28/89,08/11/1906,,,,,,
07/10/1989,06/11/1906,,,,,,
07/19/89,27/01/1907,,,,,,
07/28/89,19/03/1907,,,,,,
08/08/1989,22/05/1907,,,,,,
08/17/89,02/05/1907,,,,,,
08/28/89,05/07/1907,,,,,,
09/07/1989,29/05/1907,,,,,,
09/18/89,10/05/1907,,,,,,
09/27/89,26/04/1907,,,,,,
10/06/1989,16/08/1907,,,,,,
10/17/89,22/03/1907,,,,,,
10/26/89,25/02/1907,,,,,,
11/06/1989,25/01/1907,,,,,,
11/15/89,16/03/1907,,,,,,
11/27/89,17/05/1907,,,,,,
12/06/1989,28/06/1907,,,,,,
12/15/89,01/07/1907,,,,,,
12/27/89,16/06/1907,,,,,,
01/08/1990,25/08/1907,,,,,,
01/17/90,12/04/1907,,,,,,
01/26/90,02/01/1907,,,,,,
02/06/1990,18/02/1907,,,,,,
02/15/90,02/04/1907,,,,,,
02/27/90,01/03/1907,,,,,,
03/08/1990,19/05/1907,,,,,,
03/19/90,17/07/1907,,,,,,
03/28/90,05/07/1907,,,,,,
04/06/1990,09/06/1907,,,,,,
04/18/90,24/06/1907,,,,,,
04/27/90,29/03/1907,,,,,,
05/08/1990,25/06/1907,,,,,,
05/17/90,01/10/1907,,,,,,
05/29/90,09/11/1907,,,,,,
06/07/1990,06/12/1907,,,,,,
06/18/90,21/11/1907,,,,,,
06/27/90,01/11/1907,,,,,,
07/09/1990,23/12/1907,,,,,,
07/18/90,28/02/1908,,,,,,
07/27/90,07/12/1907,,,,,,
08/07/1990,02/06/1907,,,,,,
08/16/90,04/05/1907,,,,,,
08/27/90,23/02/1907,,,,,,
09/06/1990,08/02/1907,,,,,,
09/17/90,10/01/1907,,,,,,
09/26/90,24/09/1906,,,,,,
10/05/1990,14/11/1906,,,,,,
10/16/90,08/07/1906,,,,,,
10/25/90,19/10/1906,,,,,,
11/05/1990,06/11/1906,,,,,,
11/14/90,02/01/1907,,,,,,
11/26/90,07/12/1906,,,,,,
12/05/1990,22/02/1907,,,,,,
12/14/90,05/02/1907,,,,,,
12/26/90,21/03/1907,,,,,,
